Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,139.910004,140.960007,139.380005,139.649994,138.490997,581500
2019-04-23,137.649994,139.419998,137.449997,138.960007,138.960007,622600
2019-04-24,137.270004,137.750000,136.449997,136.479996,136.479996,450000
2019-04-25,135.490005,136.190002,135.009995,135.559998,135.559998,237200
2019-04-26,134.770004,135.500000,134.470001,135.399994,135.399994,273100
2019-04-29,134.570007,136.005005,134.154999,135.520004,135.520004,691500
2019-04-30,136.039993,136.184998,134.904999,136.029999,136.029999,210500
2019-05-01,136.139999,136.309998,134.449997,134.600006,134.600006,165100
2019-05-02,134.820007,135.300003,133.695007,134.729996,134.729996,304300
2019-05-03,133.929993,135.110001,133.929993,134.139999,134.139999,264900
2019-05-06,130.250000,133.130005,129.460007,132.330002,132.330002,837900
2019-05-07,138.309998,139.070007,136.750000,137.699997,137.699997,862200
2019-05-08,138.509995,142.149994,138.119995,141.039993,141.039993,1554100
2019-05-09,141.309998,142.039993,139.440002,141.160004,141.160004,772600
2019-05-10,141.429993,142.029999,139.514999,141.330002,141.330002,1197200
2019-05-13,137.770004,139.039993,137.369995,138.679993,138.679993,288900
2019-05-14,140.559998,142.149994,140.315002,140.940002,140.940002,958100
2019-05-15,138.770004,144.539993,138.440002,143.639999,143.639999,528400
2019-05-16,143.039993,144.619995,142.750000,143.660004,143.660004,1008900
2019-05-17,142.940002,143.949997,142.046005,142.380005,142.380005,262600
2019-05-20,141.679993,142.240005,140.570007,141.539993,141.539993,657000
2019-05-21,142.809998,143.979996,142.000000,143.860001,143.860001,447600
2019-05-22,142.710007,143.699997,142.460007,142.869995,142.869995,350300
2019-05-23,142.399994,142.559998,140.990005,142.330002,142.330002,410100
2019-05-24,143.149994,144.559998,142.899994,144.289993,144.289993,450900
2019-05-28,143.009995,145.130005,143.009995,144.520004,144.520004,473800
2019-05-29,141.699997,143.250000,140.970001,143.070007,143.070007,583000
2019-05-30,142.169998,143.080002,142.080002,143.000000,143.000000,330800
2019-05-31,140.470001,143.419998,140.104996,143.020004,143.020004,635800
2019-06-03,142.009995,143.050003,140.949997,141.970001,141.970001,765600
2019-06-04,142.410004,144.149994,141.919998,143.039993,143.039993,624400
2019-06-05,144.479996,145.429993,143.809998,144.860001,144.860001,485100
2019-06-06,146.389999,148.710007,146.130005,148.479996,148.479996,330100
2019-06-07,150.179993,151.339996,149.940002,150.339996,150.339996,409500
2019-06-10,150.800003,154.169998,150.550003,153.839996,153.839996,647500
