Date,Open,High,Low,Close,Adj Close,Volume
2019-11-18,74.790001,74.949997,72.760002,73.180000,73.180000,1471946
2019-11-19,73.470001,74.449997,73.150002,73.519997,73.519997,1160623
2019-11-20,73.199997,73.389999,72.430000,73.320000,73.320000,1060253
2019-11-21,73.320000,73.709999,72.839996,73.599998,73.599998,1174463
2019-11-22,73.690002,74.419998,73.489998,74.070000,74.070000,1397188
2019-11-25,74.500000,75.000000,74.019997,74.180000,74.180000,754308
2019-11-26,73.900002,74.150002,73.639999,73.809998,73.809998,1221059
2019-11-27,74.010002,74.860001,73.610001,74.739998,74.739998,1166247
2019-11-28,74.580002,74.580002,73.320000,73.620003,73.620003,906092
2019-11-29,73.099998,73.660004,72.980003,73.300003,73.300003,823346
2019-12-02,73.389999,73.870003,71.699997,71.910004,71.910004,2001882
2019-12-03,72.199997,72.620003,71.309998,71.809998,71.809998,1405688
2019-12-04,71.529999,73.129997,71.529999,72.760002,72.760002,1143739
2019-12-05,73.000000,73.669998,72.809998,72.809998,72.809998,908562
2019-12-06,73.050003,73.930000,72.910004,73.790001,73.790001,1007452
2019-12-09,73.739998,74.040001,73.139999,73.180000,73.180000,997359
2019-12-10,72.730003,73.330002,71.910004,73.199997,73.199997,1237434
